Time,DateTime,CPU,RAM,Upload,Download,Interface,IP,Online
17:07:00,2025-05-07 17:07:00,3.0,17.2,2.59,2.52,lo,127.0.0.1,True
17:07:01,2025-05-07 17:07:01,3.0,17.2,4.64,10.37,lo,127.0.0.1,True
17:07:02,2025-05-07 17:07:02,3.6,17.2,2.68,2.58,lo,127.0.0.1,True
17:07:05,2025-05-07 17:07:05,2.5,17.1,7.78,4.79,lo,127.0.0.1,True
17:07:06,2025-05-07 17:07:06,1.3,17.1,2.59,2.52,lo,127.0.0.1,True
17:07:07,2025-05-07 17:07:07,5.6,17.0,3.92,3.85,lo,127.0.0.1,True
17:07:09,2025-05-07 17:07:09,3.6,17.0,3.8,3.25,lo,127.0.0.1,True
17:07:10,2025-05-07 17:07:10,2.2,17.0,3.92,3.85,lo,127.0.0.1,True
17:07:11,2025-05-07 17:07:11,0.5,17.0,2.59,2.52,lo,127.0.0.1,True
17:07:12,2025-05-07 17:07:12,0.8,17.0,2.59,2.52,lo,127.0.0.1,True
17:07:14,2025-05-07 17:07:14,6.5,17.1,20.37,168.74,lo,127.0.0.1,True
17:07:15,2025-05-07 17:07:15,8.0,17.3,16.83,30.76,lo,127.0.0.1,True
17:07:16,2025-05-07 17:07:16,3.6,17.3,2.74,2.67,lo,127.0.0.1,True
17:07:19,2025-05-07 17:07:19,3.5,17.3,4.56,5.07,lo,127.0.0.1,True
17:07:20,2025-05-07 17:07:20,1.8,17.3,6.33,3.37,lo,127.0.0.1,True
17:07:21,2025-05-07 17:07:21,1.1,17.3,3.92,3.85,lo,127.0.0.1,True
17:07:23,2025-05-07 17:07:23,3.7,17.2,2.59,2.52,lo,127.0.0.1,True
17:07:24,2025-05-07 17:07:24,2.1,17.2,3.92,3.85,lo,127.0.0.1,True
17:07:25,2025-05-07 17:07:25,4.5,17.3,7.83,3.27,lo,127.0.0.1,True
17:07:27,2025-05-07 17:07:27,3.1,17.3,8.86,6.68,lo,127.0.0.1,True
17:07:28,2025-05-07 17:07:28,1.2,17.3,2.59,2.52,lo,127.0.0.1,True
17:07:29,2025-05-07 17:07:29,3.7,17.3,4.83,7.65,lo,127.0.0.1,True
17:07:31,2025-05-07 17:07:31,2.9,17.3,3.98,3.92,lo,127.0.0.1,True
17:07:32,2025-05-07 17:07:32,1.5,17.3,2.59,2.52,lo,127.0.0.1,True
17:07:33,2025-05-07 17:07:33,2.1,17.3,2.59,2.52,lo,127.0.0.1,True
17:07:35,2025-05-07 17:07:35,1.2,17.3,3.92,3.85,lo,127.0.0.1,True
17:07:36,2025-05-07 17:07:36,2.3,17.3,2.59,2.52,lo,127.0.0.1,True
17:07:37,2025-05-07 17:07:37,3.9,17.3,2.68,2.58,lo,127.0.0.1,True
17:07:39,2025-05-07 17:07:39,1.4,17.3,3.98,3.94,lo,127.0.0.1,True
17:07:40,2025-05-07 17:07:40,2.4,17.3,2.59,2.52,lo,127.0.0.1,True
17:07:42,2025-05-07 17:07:42,2.6,17.3,2.82,2.69,lo,127.0.0.1,True
17:07:44,2025-05-07 17:07:44,3.5,17.3,4.08,3.97,lo,127.0.0.1,True
17:07:45,2025-05-07 17:07:45,1.1,17.3,2.65,2.61,lo,127.0.0.1,True
17:07:46,2025-05-07 17:07:46,2.4,17.3,3.93,3.85,lo,127.0.0.1,True
17:07:47,2025-05-07 17:07:47,1.3,17.3,2.59,2.52,lo,127.0.0.1,True
17:07:49,2025-05-07 17:07:49,3.7,17.2,3.93,3.85,lo,127.0.0.1,True
17:07:50,2025-05-07 17:07:50,1.3,17.2,2.59,2.52,lo,127.0.0.1,True
17:07:52,2025-05-07 17:07:52,4.1,17.2,7.41,6.77,lo,127.0.0.1,True
17:07:53,2025-05-07 17:07:53,1.8,17.2,4.01,4.28,lo,127.0.0.1,True
17:07:54,2025-05-07 17:07:54,3.3,17.2,8.38,5.7,lo,127.0.0.1,True
17:07:56,2025-05-07 17:07:56,6.3,17.3,15.83,101.74,lo,127.0.0.1,True
17:07:57,2025-05-07 17:07:57,2.6,17.4,2.59,2.52,lo,127.0.0.1,True
17:07:58,2025-05-07 17:07:58,3.7,17.3,2.59,2.52,lo,127.0.0.1,True
17:08:01,2025-05-07 17:08:01,3.1,17.2,3.93,3.91,lo,127.0.0.1,True
17:08:02,2025-05-07 17:08:02,1.6,17.2,2.59,2.52,lo,127.0.0.1,True
17:08:04,2025-05-07 17:08:04,2.2,17.3,3.93,3.85,lo,127.0.0.1,True
17:08:05,2025-05-07 17:08:05,1.5,17.3,2.59,2.52,lo,127.0.0.1,True
17:08:06,2025-05-07 17:08:06,2.4,17.3,9.05,4.48,lo,127.0.0.1,True
17:08:08,2025-05-07 17:08:08,6.2,17.3,2.71,2.98,lo,127.0.0.1,True
17:08:09,2025-05-07 17:08:09,4.4,17.3,3.93,3.85,lo,127.0.0.1,True
